threshold_tag,accuracy,precision,recall,macro_f1,per_class_f1,best_val_macro_f1,best_phase,train_samples,val_samples,test_samples
085,0.6467065868263473,0.6688611491108072,0.650127623369257,0.6494861297646897,"{'Happy': 0.8674698795180723, 'Sad': 0.5194805194805194, 'Angry': 0.647887323943662, 'Fear': 0.5631067961165048}",0.6195588393874808,p2,18783,166,167
075,0.6706586826347305,0.6708015135878913,0.6753899602949518,0.6694469079067835,"{'Happy': 0.8941176470588236, 'Sad': 0.5194805194805194, 'Angry': 0.6835443037974683, 'Fear': 0.5806451612903226}",0.6392230292155655,p2,23063,166,167
